,county,rank,rank_name
,Merced,38,entertainment
,Modoc,57,entertainment
,Mono,49,entertainment
,Monterey,21,entertainment
,Napa,18,entertainment
,Nevada,19,entertainment
,Orange,3,entertainment
,Placer,17,entertainment
,Plumas,56,entertainment
,Riverside,16,entertainment
,Sacramento,12,entertainment
,San Benito,34,entertainment
,San Bernardino,30,entertainment
,San Diego,10,entertainment
,San Francisco,1,entertainment
,San Joaquin,20,entertainment
,San Luis Obispo,24,entertainment
,San Mateo,6,entertainment
,Santa Barbara,14,entertainment
,Santa Clara,9,entertainment
,Santa Cruz,11,entertainment
,Shasta,37,entertainment
,Sierra,47,entertainment
,Siskiyou,53,entertainment
,Solano,15,entertainment
,Sonoma,13,entertainment
,Stanislaus,25,entertainment
,Sutter,40,entertainment
,Tehama,42,entertainment
,Trinity,54,entertainment
,Tulare,41,entertainment
,Tuolumne,35,entertainment
,Ventura,8,entertainment
,Yolo,22,entertainment
,Yuba,27,entertainment
