"","county","estab_area","div_index","rec_area","health_rank","night_area","ent_area"
"1","Alameda",0.298296665165037,0.740399,2.17344430548967,"9",1.69908146103756,0.298296665165037
"2","Alpine",0.0013455690411475,0.491441,1.50621789530309,"NR",0.239433797082494,0.0013455690411475
"3","Amador",0.00825136972737474,0.340126,0.718347071213763,"18",0.20332874727576,0.00825136972737474
"4","Butte",0.0107326206078241,0.423592,0.697546169810606,"32",0.15702155783908,0.0107326206078241
"5","Calaveras",0,0.305176,0.664369160331936,"22",0.107643709382105,0
"6","Colusa",0.000864782593655955,0.527825,0.627266941191807,"37",0.107356200203977,0.000864782593655955
"7","Contra Costa",0.150540577528397,0.686497,0.521116275326452,"8",0.0870895903056845,0.150540577528397
"8","Del Norte",0.000813180021793225,0.552126,0.520945800043187,"49",0.0742280285035629,0.000813180021793225
"9","El Dorado",0.01287534427551,0.355694,0.336524014070814,"7",0.0722543352601156,0.01287534427551
"10","Fresno",0.007486026084642,0.618892,0.305485456235888,"53",0.0559974965825057,0.007486026084642
"11","Glenn",0.00150718172090009,0.550859,0.21740204555561,"45",0.0397267681170615,0.00150718172090009
"12","Humboldt",0.00345486222502998,0.400875,0.190909191229212,"30",0.0371538731160182,0.00345486222502998
"13","Imperial",0.000892514481047455,0.311687,0.163468243689945,"56",0.0338086670932998,0.000892514481047455
"14","Inyo",0.000586687474515763,0.523314,0.154924640729057,"25",0.0288469696541192,0.000586687474515763
"15","Kern",0.00441033783187792,0.596651,0.152719251110043,"57",0.023999492840906,0.00441033783187792
"16","Kings",0.00359316723318937,0.59646,0.151751128149834,"48",0.0204662340148809,0.00359316723318937
"17","Lake",0.00150441545937326,0.43342,0.117933500722818,"52",0.017970528333533,0.00150441545937326
"18","Lassen",0.000847436082133505,0.514288,0.117067159581023,"42",0.0166086990503732,0.000847436082133505
"19","Los Angeles",2.88721810841644,0.661865,0.116855594213998,"34",0.0152172258997185,2.88721810841644
"20","Madera",0.0046440994394572,0.552329,0.103786992943032,"51",0.0145153968773423,0.0046440994394572
"21","Marin",0.171458240258878,0.442392,0.0854574438363819,"1",0.0143766687204765,0.171458240258878
"22","Mariposa",0.00136722221462654,0.318022,0.0849974598460276,"28",0.0131176474095628,0.00136722221462654
"23","Mendocino",0.00412568911901066,0.48984,0.0733334826126873,"38",0.0121860717307782,0.00412568911901066
"24","Merced",0.00353801598172362,0.576306,0.0625481647260021,"54",0.0106467926537131,0.00353801598172362
"25","Modoc",0.000237902650235524,0.372207,0.0578368999421631,"35",0.00940382514416894,0.000237902650235524
"26","Mono",0.000957891106938963,0.482499,0.0497849566456003,"21",0.00895676123513738,0.000957891106938963
"27","Monterey",0.0143189737008183,0.569329,0.042420814479638,"31",0.00789682794292568,0.0143189737008183
"28","Napa",0.0228258388495777,0.583815,0.0405704254856519,"12",0.0077662664450692,0.0228258388495777
"29","Nevada",0.0205380981721093,0.252753,0.0357248256473183,"15",0.0075220772968663,0.0205380981721093
"30","Orange",0.578016391194743,0.663094,0.0333584363991084,"6",0.00707603196344724,0.578016391194743
"31","Placer",0.0246262795681749,0.417471,0.0280546570730741,"3",0.00662915449111959,0.0246262795681749
"32","Plumas",0.000382638907489391,0.279941,0.0279671723260008,"29",0.0066010957818998,0.000382638907489391
"33","Riverside",0.0273844308556813,0.624784,0.0258146922903601,"39",0.00649299736359805,0.0273844308556813
"34","Sacramento",0.112673789259773,0.687281,0.0253594425332981,"27",0.00541496696870149,0.112673789259773
"35","San Benito",0.00431508770415759,0.527412,0.0246215535320938,"24",0.00503043412646511,0.00431508770415759
"36","San Bernardino",0.00631689002095516,0.624636,0.0233922992550852,"44",0.0049739291503584,0.00631689002095516
"37","San Diego",0.112690247653391,0.650181,0.0195052176457202,"20",0.00493023714440665,0.112690247653391
"38","San Francisco",1.45327525982147,0.679829,0.0194178946687091,"5",0.00415863097868182,1.45327525982147
"39","San Joaquin",0.0161233788994041,0.685223,0.0192485181108813,"43",0.00385754101048287,0.0161233788994041
"40","San Luis Obispo",0.0116164898839734,0.461168,0.0180529855124791,"10",0.00382638907489391,0.0116164898839734
"41","San Mateo",0.132260850788167,0.691029,0.0165285692726711,"2",0.00371527955156576,0.132260850788167
